Área,Nombre,Descripción,Fecha
Projects funded by the European Commission,S-CUBE,Software Services and Systems Network .,(Mar 2008 . Feb 2012)
Projects funded by the European Commission,SOA4ALL,Service-Oriented Architectures for All .,(Mar 2008 . May 2011)
Projects funded by the European Commission,NAME,Network for Agile Methodologies Experience .,(Nov 2002 . Nov 2005)
Projects funded by the European Commission,Eureka-Incipro,Monitorización de Gases en Incineradoras .,(Mar 1993 . Apr 1997)
Projects funded by the European Commission,LEGO,Development Environment for Component-Based Heterogeneous Distributed Applications,(Jan 2013 . Dec 2015)
Projects funded by the R&D&I National Plan of the Spanish Governament,TAPAS,Tecnologías Avanzadas para Procesos como Servicios,(Jul 2012 . Dec 2015)
Projects funded by the R&D&I National Plan of the Spanish Governament,SaaS Firewall,"Solución SaaS integral para el diagnóstico automático en lenguaje natural de problemas IT y resolución semi-automática de los mismos, en base a políticas de seguridad de cortafuegos .",(Jul 2012 . Dec 2015)
Projects funded by the R&D&I National Plan of the Spanish Governament,SETI,reSearching on intElligent Tools for Internet of services .,(Oct 2009 . Sep 2012)
Projects funded by the R&D&I National Plan of the Spanish Governament,WEB-FACTORIES,Software Factories for Systems with Web Service-Oriented Architectures .,(Oct 2006 . Sep 2009)
Projects funded by the R&D&I National Plan of the Spanish Governament,AGILWEB,Agile Development and Maintenance of Web-Services-Based Applications .,(Nov 2003 . Nov 2006)
Projects funded by the R&D&I National Plan of the Spanish Governament,ZOCO,Nuevos Métodos y Herramientas para la Automatización del Desarrollo de Aplicaciones de Comercio Electrónico .,(Dec 2000 . Dec 2003)
Projects funded by the R&D&I National Plan of the Spanish Governament,MENHIR,Advanced Methods and Tools for Requirements Engineering .,(Mar 1997 . Mar 2000)
Projects funded by the Andalusian Government,COPAS,Ecosystems for Optimized Process As a Service .,(Jan 2014 . Jan 2018)
Projects funded by the Andalusian Government,THEOS,Tecnologías Habilitadoras para EcOsistemas Software .,(Mar 2011 . Mar 2015)
Projects funded by the Andalusian Government,ISABEL,Ingeniería de Sistemas Abiertos Basada en LínEas de productos .,(Oct 2007 . Nov 2011)
Research Networks,DSDM,Red de Desarrollo de Software Dirigido por Modelos .,(Oct 2008 . Nov 2010)
Research Networks,Servicios Web,"Ingeniería, Tecnologías y Arquitecturas .",(Mar 2008 . Mar 2009)
Research Networks,ELEPES (LPS),Red en Líneas de Productos Software .,(Dec 2006 . Dec 2008)
Research Networks,MIFISIS,Métodos de Investigación y Fundamentos Filosóficos en Ingeniería del Software y Sistemas de Información .,(Jun 2004 .Jun 2006)
Research Networks,Red Temática Ingeniería del Software Empírica,Red Temática de Investigación en el Campo de la Ingeniería del Software Empírica .,(Jun 2004 . Jun 2005)
Research Networks,RIS,Red Temática de Investigación en Ingeniería del Software .,(Dec 2000 . Nov 2001)
Research Networks,ARQSDC,Automatisation of Qualitative Reasoning in Complex Dynamical Systems .,(Jan 1994 . Dec 1997)
Latin-American Cooperation Projects,WEST,Web-Oriented Software Technology .,(Jun 2000 . Jun 2003)
Projects funded by the University of Seville (promoting technology transfer),SPLReasoner,Promoción y seguimiento de software registrado .,(Jul 2008 . Dec 2008)
Projects funded by the University of Seville (promoting technology transfer),Plataforma Tecnológica Española de software y servicios,Colaboración con la Plataforma Tecnológica Española de software y servicios y con la Plataforma Tecnológica Española de sistemas con inteligencia integrada .,(Aug 2007 . Nov 2007)
Projects funded by the University of Seville (promoting technology transfer),e-Health,Financiar las actividades para la puesta en marcha de un consorcio sobre investigación en e-Health .,(Apr 2007 . Sep 2007)
Projects funded by the University of Seville (promoting technology transfer),Contactos con la NASA y programa CÉNIT,Fomentar los contactos con la NASA y el Cork Constraint Computation Center. Elaboración de solicitud de proyecto al programa CÉNIT .,(Mar 2006 . Aug 2006)
Other funding,Realidad Virtual,Gestión del conocimiento integrada en un entorno de Realidad Virtual.,(Jan 2007 . Dec 2008)
Other funding,Trazabilidad de pacientes,Trazabilidad de pacientes en procesos críticos mediante tecnología RFID .,(Jan 2007 . Dec 2008)
Other funding,SEIHSE,Sistemas de Interoperabilidad de Registros Clínicos con una Historia Clínica Electrónica basada en Estándares .,(Jun 2005 . May 2006)
Other funding,eTAO,Sistema de Telemedicina asíncrona basado en estándares médicos para el control de pacientes que siguen la terapia de Anticoagulante Oral .,(Jun 2005 . May 2006)
Other funding,MUML,Métricas para Modelos UML .,(Jan 2003 . Dec 2004)
Other funding,WEBTEST,Técnicas avanzadas de pruebas para aplicaciones basadas en servicios WEB .,(Nov 2001 . Nov 2003)
Other funding,NETWORK FOR AGILE METHODOLOGIES,Network for agile methodologies experience .,(Jul 2002 . Jun 2003)
Other funding,Gestión del conocimiento integrada en un entorno de Realidad Virtual,Gestión del conocimiento integrada en un entorno de Realidad Virtual,
Other funding by the Ministry of Science and Innovation of the Spanish Government,Organización IV Servicios Web y SOA,Organización de las IV Jornadas Científico-Técnicas en Servicios Web y SOA .,(Sep 2008 .Aug 2009)
Other funding by the Ministry of Science and Innovation of the Spanish Government,Organización XI Ingeniería del Software y Bases de Datos,Organización de las XI Jornadas de Ingeniería del Software y Bases de Datos .,(Sep 2006 . Aug 2007)
Other funding by the Ministry of Science and Innovation of the Spanish Government,SIT02,Simposio Español de Informática y Telecomunicaciones .,(Nov 2001 . Oct 2002)
Other funding by the University of Seville,IV Jornadas Científico-Técnicas en Servicios Web y SOA 08,Organización de las IV Jornadas Científico-Técnicas en Servicios Web y SOA .,(Sep 2008 . Dec 2008)
Other funding by the University of Seville,Colaboración con la Plataformas Tecnológicas Españolas,Colaboración con la Plataforma Tecnológica Española de Software y Servicios y con la Plataforma Tecnológica Española de Sistemas con Inteligencia Integrada .,(Aug 2007 . Nov 2007)
Other funding by the Andalusian Government,Ayudas Grupo Investigación (Conv. 2009),Ayudas a Consolidación del Grupo de Investigación .,(Jan 2009 . Dec 2009)
Other funding by the Andalusian Government,IV Jornadas Científico-Técnicas en Servicios Web y SOA,Organización de las IV Jornadas Científico-Técnicas en Servicios Web y SOA .,(Sep 2008 . Aug 2009)
Other funding by the Andalusian Government,Ayudas Grupo Investigación (Conv. 2007),Ayudas a Consolidación del Grupo de Investigación .,(Jan 2008 . Dec 2008)
Other funding by the Andalusian Government,Ayudas Grupo Investigación (Conv. 2008),Ayudas a Consolidación del Grupo de Investigación .,(Jan 2008 . Dec 2008)
