Área,Nombre,Descripción,Fecha
,BPCMS,BPCMS: Implantación de un Sistema de Gestión de la Conformidad para Procede .,(Mar 2012 . May 2013)
,PHARMA SOFTWARE FACTORIES .,PHARMA SOFTWARE FACTORIES .,(Jan 2009 . Dec 2012)
,SMARTGRID,Subestaciones para una Red Inteligente de Distribución Eléctrica .,(Jan 2009 . Dec 2011)
,STORE,Sistema Inteligente de Almacenamiento Distribuido de de Energía .,(Jan 2008 . Dec 2011)
,PLATINA-FAST,Service Level Agreemen mangement and procurement integrated in PLATINAv2 .,(Jun 2010 . Jun 2011)
,ALCUZA,Desarrollo de un entorno ALM (Application Lifecycle Management) orientado a procesos compatible con CMMI-DEV nivel 2 .,(Sep 2008 . Apr 2010)
,MADEJA-IR,Incorporación de Metodología de Ingeniería de Requisitos REM a la Metodología de Desarrollo de la Junta de Andalucía (MADEJA) .,(Feb 2009 . Nov 2009)
,PDSSA,Proceso de Desarrollo Software Semiautomático .,(Mar 2008 . Sep 2009)
,ALPES ODP I,Desarrollo de una arquitectura para una línea de productos de On-Device Portals (ODP) para móviles y creación de un primer producto para ocio y viajes .,(Oct 2008 . Sep 2009)
,Nuevos módulos Quivir,Nuevos módulos QUIVIR para empresas de distribución: Picking por voz en SGA y TPV en JavA .,(Mar 2007 . Sep 2009)
,FAST-ESB,Aprovisionamiento de servicios sensible a la calidad integrada en PLATINA (Plataforma de interoperabilidad de la Junta de Andalucía) .,(Feb 2009 . Jul 2009)
,SERVICIOS WEB,"SERVICIOS WEB: INGENIERÍA, TECNOLOGÍAS Y ARQUITECTURAS .",(Mar 2008 . Mar 2009)
,SITRA-PUBLICO,Inteligente para la Planificación y el Schedulling del Transporte Público .,(Jan 2007 . Dec 2008)
,ESMARTNET,Embedded Systems and Middleware Optimization for Real-Time Networks Applications ( Sistemas Embebidos y Optimización de Middleware para Aplicaciones de Redes en Tiempo Real) .,(Mar 2007 . Dec 2008)
,SIGESTRA,Sistema Integrado para la Gestión del Tráfico Urbano .,(Jan 2004 . Dec 2006)
,SIGESTRI,Sistema Integrado para la Gestión del Transporte Intermodal .,(Jan 2005 . Dec 2006)
,TRAMOS,"Sistema para el Análisis, Modelado y Optimización de Problemas de Tráfico y Transporte .",(Jan 2004 . Dec 2005)
,TRAMOS 3D,Simulador de Tráfico 3D .,(Jan 2005 . Dec 2005)
,SIMITS,Sistemas de Evaluación y de ayuda a la toma de decisiones de implantación de alternativas ITS (INTELLIGENT TRANSPORTATIO SYSTEMS) .,(Dec 2003 . Dec 2005)
,FAMILIES,System-family Engineering .,(Sep 2003 . Aug 2005)
,CITANDALU,Portal de Innovación para Andalucía .,(Sep 2004 . Feb 2005)
,FRADA,Middleware para aplicaciones energéticas .,(Dec 2003 . Nov 2004)
,CAFÉ,Requirements Engineering for Product Families del proyecto from Concept to Application in System-Family Engineering .,(Jan 2001 . Dec 2003)
,WEBPLUS,New Web Services Generation .,(Feb 2001 . Feb 2003)
,REDEST .,Experiment-Based Cross Fertilisation and Dissemination of Software Requirements Gathering Techniques .,(Jan 2001 .Dec 2002)
,Asesoramiento implantación procesos TELVENT,Asesoramiento para la implantación de procesos corporativos de desarrollo de software en el grupo Telvent .,(Jan 2002 . Dec 2002)
,Desarrollo programa Métrica V3,Desarrollo de programa de formación en Métrica V3 .,(Jan 2002 . Dec 2002)
,Colaboración INPRO y AECIA,"Acuerdo Marco de Colaboración entre la Sociedad Provincial INPRO de la Diputación de Sevilla y AECIA, Asociación para la Investigación y Cooperación Industrial de Andalucía .",(Jan 1997 . Dec 1998)
,MASTER,Military Applications of Simulation and Training concepts based on Empirical Research .,(Jan 1996 . Dec 1998)
,Spectra,Analizador Espectral de Audio para Sonometria .,(Feb 1995 . Sep 1996)
,SARES,Design of a Spectral Analyser for Sonometry,
,Portal Innovacion,Portal de Innovación para Andalucía,
,TECHNO21,Inteligencia Ambiental en el Hogar del Siglo XXI,
,GODDARD SPACE FLIGHT CENTER,Convenio de colaboración con el Goddard Space Flight Center de la NASA .,(Jan 2005)
